"SAMPLE 2023-01-13_08-39-52 csv_sources\0_fertoing_source.csv search_mode='any' keywords=['болт', 'винт', 'гайка', 'шайба', 'шуруп'] exclude=[]"
Винт с цилиндрической головкой и внутренним шестигранником DIN 912 6*35 A4_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'6': 1, '35': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с цилиндрической головкой и внутренним шестигранником DIN 912 6*60 A4_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A4', 'fastener_class': None, 'T': Counter({'6': 1, '60': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
"Винт с цилиндрической головкой и внутренним шестигранником PHCS 8-32X3 8, SS 002-1881","{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'phcs': 1, '8': 1, '32': 1, '3': 1, '8,': 1, 'ss': 1, '002': 1, '1881': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с цилиндрической головкой и внутренним шестигранником SCR SHLDR 8-32X0.5 SS SKT HD 002-1861,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'scr': 1, 'shldr': 1, '8': 1, '32': 1, '0.5': 1, 'ss': 1, 'skt': 1, 'hd': 1, '002': 1, '1861': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
"Винт с цилиндрической головкой и внутренним шестигранником SHCS 1/4-28X1/2,GR 8 STL, 002-1562","{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'1': 2, 'shcs': 1, '4': 1, '28': 1, '2,': 1, 'gr': 1, '8': 1, 'stl': 1, ',': 1, '002': 1, '1562': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с цилиндрической головкой и внутренним шестигранником SHCS 1/4-28X4.0 INCONEL 001-5098,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'shcs': 1, '1': 1, '4': 1, '28': 1, '4.0': 1, 'inconel': 1, '001': 1, '5098': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с цилиндрической головкой и внутренним шестигранником SHCS 10-24X1-1 2 SS 002-0197,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'1': 2, 'shcs': 1, '10': 1, '24': 1, '2': 1, 'ss': 1, '002': 1, '0197': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
"Винт с цилиндрической головкой и внутренним шестигранником SHCS 10-32 X 5/8,UNBRAKO, 002-1133_НЕ_ИСП","{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'shcs': 1, '10': 1, '32': 1, '5': 1, '8,': 1, 'unbrako': 1, ',': 1, '002': 1, '1133': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с цилиндрической головкой и внутренним шестигранником SHCS 4-40X.3125 SS 002-1875,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'shcs': 1, '4': 1, '40': 1, '.3125': 1, 'ss': 1, '002': 1, '1875': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
"Винт с цилиндрической головкой и внутренним шестигранником SHCS 4-40X.375,SS 002-0692","{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'shcs': 1, '4': 1, '40': 1, '.375,': 1, 'ss': 1, '002': 1, '0692': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
"Винт с цилиндрической головкой и внутренним шестигранником SHCS 5 16-24x3 4L,120K-150K 002-1888__НЕ_","{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'shcs': 1, '5': 1, '16': 1, '24': 1, '3': 1, '4': 1, ',120': 1, '150': 1, '002': 1, '1888': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с цилиндрической головкой и внутренним шестигранником SHCS 8-32X1 2 SS 002-0158,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'shcs': 1, '8': 1, '32': 1, '1': 1, '2': 1, 'ss': 1, '002': 1, '0158': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с цилиндрической головкой и внутренним шестигранником SHCS 8-32X1.0 SS 002-0399,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'shcs': 1, '8': 1, '32': 1, '1.0': 1, 'ss': 1, '002': 1, '0399': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с цилиндрической головкой и внутренним шестигранником SHCS 8-32X1.25 316SS 002-1550,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'shcs': 1, '8': 1, '32': 1, '1.25': 1, '316': 1, 'ss': 1, '002': 1, '1550': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
"Винт с цилиндрической головкой и внутренним шестигранником SHCS, 10-24X1-1/4, SS 002-0195","{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'1': 2, 'shcs': 1, ',': 1, '10': 1, '24': 1, '4,': 1, 'ss': 1, '002': 1, '0195': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
"Винт с цилиндрической головкой и внутренним шестигранником SHCS, 10-24X1/2, SS 002-0156","{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'shcs': 1, ',': 1, '10': 1, '24': 1, '1': 1, '2,': 1, 'ss': 1, '002': 1, '0156': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
"Винт с цилиндрической головкой и внутренним шестигранником SHCS, 10-24X3/4, SS 002-0020","{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'shcs': 1, ',': 1, '10': 1, '24': 1, '3': 1, '4,': 1, 'ss': 1, '002': 1, '0020': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
"Винт с цилиндрической головкой и внутренним шестигранником SHCS, 6-32X5/16, SS 002-0114","{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'shcs': 1, ',': 1, '6': 1, '32': 1, '5': 1, '16,': 1, 'ss': 1, '002': 1, '0114': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
"Винт с цилиндрической головкой и внутренним шестигранником SHCS,10-32X5/16,SS 002-0860","{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'shcs': 1, ',10': 1, '32': 1, '5': 1, '16,': 1, 'ss': 1, '002': 1, '0860': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
"Винт с цилиндрической головкой и внутренним шестигранником SHCS,6-32,5 16LONG ALLOY STL 002-0933","{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'shcs': 1, ',6': 1, '32,5': 1, '16': 1, 'long': 1, 'alloy': 1, 'stl': 1, '002': 1, '0933': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с цилиндрической головкой и внутренним шестигранником Socket head cap screw 071-11-068_НЕ_ИСПОЛ,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'socket': 1, 'head': 1, 'cap': 1, 'screw': 1, '071': 1, '11': 1, '068': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с цилиндрической головкой и внутренним шестигранником Socket head cap screw 071-11-070__НЕ_ИСПО,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'socket': 1, 'head': 1, 'cap': 1, 'screw': 1, '071': 1, '11': 1, '070': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с цилиндрической головкой и внутренним шестигранником Socket head cap screw 071-11-072_НЕ_ИСПОЛ,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'socket': 1, 'head': 1, 'cap': 1, 'screw': 1, '071': 1, '11': 1, '072': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с цилиндрической головкой и внутренним шестигранником Socket head cap screw 071-11-100_НЕ_ИСПОЛ,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'socket': 1, 'head': 1, 'cap': 1, 'screw': 1, '071': 1, '11': 1, '100': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с цилиндрической головкой и внутренним шестигранником Socket head cap screw 071-11-104__НЕ_ИСПО,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'socket': 1, 'head': 1, 'cap': 1, 'screw': 1, '071': 1, '11': 1, '104': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с цилиндрической головкой и внутренним шестигранником UNC 1/4х1 1/2 ГОСТ 11738-84,"{'din': None, 'gost': '11738-84', 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'1': 3, 'unc': 1, '4': 1, '2': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с цилиндрической головкой и внутренним шестигранником UNC 1/4х1/2 ГОСТ 11738-84,"{'din': None, 'gost': '11738-84', 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'1': 2, 'unc': 1, '4': 1, '2': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с цилиндрической головкой и внутренним шестигранником М10х100 DIN 912,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'10': 1, '100': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с цилиндрической головкой и внутренним шестигранником М10х110 DIN 912,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'10': 1, '110': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с цилиндрической головкой и внутренним шестигранником М10х180 DIN 912,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'10': 1, '180': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с цилиндрической головкой и внутренним шестигранником М10х20 DIN 912,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'10': 1, '20': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с цилиндрической головкой и внутренним шестигранником М10х30 DIN 912_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'10': 1, '30': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с цилиндрической головкой и внутренним шестигранником М10х40 DIN 912_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'10': 1, '40': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
Винт с цилиндрической головкой и внутренним шестигранником М10х50 DIN 912,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'10': 1, '50': 1}), 'K': {'винт', 'головка', 'шестигранник'}}"
